# Reference      Predicted      Error          #atoms         
15245.26615     15239.65319     5.61295         240.00000      
15215.18838     15219.54678     4.35840         240.00000      
14246.75475     14250.67324     3.91848         225.00000      
18269.90518     18266.79445     3.11073         288.00000      
5304.43208      5304.94315      0.51107         81.00000       
5233.40533      5234.09312      0.68778         81.00000       
5226.99747      5227.64205      0.64458         81.00000       
5220.78284      5221.42439      0.64156         81.00000       
5214.73755      5215.42675      0.68921         81.00000       
5208.97941      5209.63798      0.65857         81.00000       
5203.42425      5204.04560      0.62135         81.00000       
5197.98119      5198.64406      0.66286         81.00000       
5192.85287      5193.41510      0.56223         81.00000       
5187.80988      5188.34924      0.53936         81.00000       
5183.07905      5183.43723      0.35819         81.00000       
5295.14969      5295.74430      0.59461         81.00000       
5178.44644      5178.67011      0.22367         81.00000       
5173.96070      5174.05466      0.09395         81.00000       
5169.42079      5169.55920      0.13841         81.00000       
5165.25942      5165.19630      0.06312         81.00000       
5161.16509      5160.97723      0.18786         81.00000       
5157.21952      5156.87325      0.34627         81.00000       
5153.42676      5152.89597      0.53079         81.00000       
5149.64155      5149.04347      0.59808         81.00000       
5146.07814      5145.31383      0.76431         81.00000       
5142.66636      5141.70515      0.96121         81.00000       
5286.40486      5286.92030      0.51544         81.00000       
5139.17661      5138.20422      0.97240         81.00000       
5277.91459      5278.45033      0.53574         81.00000       
5269.67718      5270.31414      0.63696         81.00000       
5261.80108      5262.49452      0.69344         81.00000       
5254.26316      5254.97711      0.71395         81.00000       
5246.95423      5247.74796      0.79372         81.00000       
5240.01454      5240.79157      0.77703         81.00000       
5143.25559      5142.70912      0.54648         81.00000       
5458.53283      5458.19877      0.33406         81.00000       
5123.23207      5123.19592      0.03615         81.00000       
5153.31241      5152.64418      0.66823         81.00000       
5476.72063      5476.64327      0.07736         81.00000       
5099.09953      5101.69994      2.60041         81.00000       
5204.60364      5204.21762      0.38602         81.00000       
5216.59675      5216.21748      0.37927         81.00000       
5276.36557      5275.80640      0.55917         81.00000       
5213.95160      5213.31845      0.63315         81.00000       
5129.25095      5129.15542      0.09553         81.00000       
5213.94762      5213.54386      0.40376         81.00000       
5165.26457      5164.19910      1.06547         81.00000       
5218.36509      5217.71570      0.64940         81.00000       
5137.91870      5137.70345      0.21525         81.00000       
5109.66096      5110.98514      1.32418         81.00000       
5239.06630      5238.22487      0.84144         81.00000       
5312.83968      5312.49388      0.34580         81.00000       
5176.94446      5175.76502      1.17945         81.00000       
5214.81434      5214.14658      0.66775         81.00000       
5184.92654      5183.93926      0.98728         81.00000       
5202.89741      5202.41651      0.48089         81.00000       
5410.28735      5411.11598      0.82863         81.00000       
5096.31446      5099.34854      3.03408         81.00000       
5185.38777      5184.49345      0.89431         81.00000       
5476.31915      5476.35461      0.03546         81.00000       
5228.20853      5227.74005      0.46848         81.00000       
5187.12717      5186.21886      0.90831         81.00000       
5108.69992      5110.31153      1.61161         81.00000       
5188.63137      5187.80311      0.82826         81.00000       
191.22381       191.57414       0.35033         3.00000        
190.65548       191.06433       0.40885         3.00000        
190.13442       190.59961       0.46519         3.00000        
189.65926       190.17385       0.51459         3.00000        
189.22154       189.78101       0.55947         3.00000        
188.82129       189.41782       0.59653         3.00000        
188.45163       189.08412       0.63249         3.00000        
188.11116       188.77990       0.66873         3.00000        
187.79439       188.50516       0.71077         3.00000        
187.50071       188.25991       0.75920         3.00000        
187.22647       188.04364       0.81717         3.00000        
# MSE = 1.62026E+00
# Maxerror = 5.61295E+00
