# Reference      Predicted      Error          #atoms         
15028.67435     15029.13664     0.46229         240.00000      
15016.49968     15016.37307     0.12661         240.00000      
14053.80645     14056.60308     2.79663         225.00000      
18029.50898     18025.93546     3.57352         288.00000      
5282.13958      5281.86113      0.27845         81.00000       
5193.77403      5193.78998      0.01595         81.00000       
5185.64707      5185.61670      0.03037         81.00000       
5177.75024      5177.72015      0.03008         81.00000       
5170.05945      5170.08765      0.02820         81.00000       
5162.68961      5162.70917      0.01956         81.00000       
5155.55705      5155.57286      0.01581         81.00000       
5148.57099      5148.67553      0.10454         81.00000       
5141.93007      5141.99764      0.06757         81.00000       
5135.40608      5135.53065      0.12457         81.00000       
5129.22355      5129.26618      0.04263         81.00000       
5270.74919      5270.61260      0.13659         81.00000       
5123.16844      5123.19599      0.02755         81.00000       
5117.29430      5117.33017      0.03587         81.00000       
5111.38909      5111.62457      0.23548         81.00000       
5105.89062      5106.09030      0.19967         81.00000       
5100.49059      5100.73696      0.24636         81.00000       
5095.26132      5095.52356      0.26225         81.00000       
5090.21086      5090.46050      0.24964         81.00000       
5085.19485      5085.54115      0.34630         81.00000       
5080.42434      5080.75924      0.33490         81.00000       
5075.83226      5076.10898      0.27672         81.00000       
5259.94456      5259.77237      0.17220         81.00000       
5071.18291      5071.57000      0.38709         81.00000       
5249.44239      5249.31775      0.12465         81.00000       
5239.23848      5239.22876      0.00973         81.00000       
5229.44018      5229.49002      0.04984         81.00000       
5220.02296      5220.08941      0.06646         81.00000       
5210.87703      5211.01515      0.13811         81.00000       
5202.14104      5202.25323      0.11219         81.00000       
5075.18169      5075.43732      0.25563         81.00000       
5462.32633      5462.11535      0.21099         81.00000       
5048.69057      5048.62274      0.06782         81.00000       
5088.57491      5088.69212      0.11721         81.00000       
5484.29753      5483.77351      0.52402         81.00000       
5016.25023      5016.22061      0.02962         81.00000       
5154.98154      5155.25418      0.27264         81.00000       
5169.90935      5170.18644      0.27709         81.00000       
5244.48327      5244.33051      0.15277         81.00000       
5166.76680      5166.66224      0.10456         81.00000       
5056.58995      5056.79569      0.20575         81.00000       
5166.95702      5166.93745      0.01956         81.00000       
5103.84187      5103.73494      0.10692         81.00000       
5171.95049      5172.02820      0.07771         81.00000       
5068.16480      5068.48576      0.32097         81.00000       
5030.42766      5030.44931      0.02165         81.00000       
5197.87620      5197.65030      0.22590         81.00000       
5288.41238      5288.64447      0.23208         81.00000       
5119.15446      5118.80222      0.35224         81.00000       
5167.82464      5167.65139      0.17325         81.00000       
5129.31374      5129.35324      0.03950         81.00000       
5152.65151      5152.78702      0.13551         81.00000       
5405.97395      5406.88340      0.90945         81.00000       
5012.42046      5012.40443      0.01603         81.00000       
5130.14837      5130.11914      0.02923         81.00000       
5483.12075      5483.25310      0.13235         81.00000       
5184.70913      5184.69949      0.00965         81.00000       
5132.14847      5132.22297      0.07450         81.00000       
5029.00072      5029.09223      0.09150         81.00000       
5134.31327      5134.40875      0.09547         81.00000       
189.46971       189.56557       0.09586         3.00000        
188.74398       188.88025       0.13627         3.00000        
188.07442       188.24863       0.17421         3.00000        
187.45926       187.66633       0.20706         3.00000        
186.88984       187.12892       0.23908         3.00000        
186.36589       186.63209       0.26620         3.00000        
185.88043       186.17160       0.29118         3.00000        
185.43196       185.74330       0.31134         3.00000        
185.01469       185.34314       0.32845         3.00000        
184.62821       184.96706       0.33885         3.00000        
184.26887       184.61165       0.34278         3.00000        
# MSE = 3.25818E-01
# Maxerror = 3.57352E+00
